,name,price,qty,category
10994,주_계란떡볶이비빔Ball,2000,100,instant
10995,면_나폴리탄파스타,4000,100,instant
10996,햄_단짠불고기버거,1900,100,instant
10997,도_반반치킨,8900,100,instant
10998,샐_뉴오세득소이볼샐러드,3500,100,instant
10999,샐_뉴오세득터키햄샐러드,3500,100,instant
11000,샌_칠리치킨샌드위치_PLA_,3200,100,instant
11001,샐_뉴오세득알품닭샐러드,3500,100,instant
11002,샐_뉴오세득스파이시치킨,3500,100,instant
11003,샐_흑임자치킨샐러드,3500,100,instant
11004,도_직화고기참피언,4500,100,instant
11005,샌_햄이꽉찬샌드위치,2200,100,instant
11006,주_폭탄전주비빔Ball,1900,100,instant
11007,햄_콰트로타워버거,2700,100,instant
11008,요리비책_대파제육정식,4500,100,instant
11009,주_참치마요햄김치볶음,1800,100,instant
11010,샐_아임웰푸짐하오리,4300,100,instant
11011,샌_하프앤하프샌드위치,2500,100,instant
11012,주_광양식불고기,1200,100,instant
11013,주_햄참치마요,1100,100,instant
11014,주_참치FLEX,1100,100,instant
11015,햄_에그불고기치즈버거,2300,100,instant
11016,햄_뉴상하이스파이시버거,2300,100,instant
11017,샌_꽃맛살샐러드샌드위치,2500,100,instant
11018,주_매콤고추장불고기,1200,100,instant
11019,김_보성녹돈돈까스김밥,2400,100,instant
11020,도_남도떡갈비정식,4500,100,instant
11021,햄_딥치즈베이컨버거,2500,100,instant
11022,햄_새우버거,2500,100,instant
11023,요리비책_베이컨땡초김밥,2400,100,instant
11024,도_오늘은치킨이닭,4300,100,instant
11025,요리비책_길거리토스트,2500,100,instant
11026,도_반반치킨새우강정,8900,100,instant
11027,샌_이건가요샌드위치_리_,2200,100,instant
11028,도_강력추천!8찬정식,4500,100,instant
11029,샐_딥치즈&치킨미니샐러드,3500,100,instant
11030,샐_닭가슴살샐러드170,3500,100,instant
11031,햄_트리플불고기치즈버거,2700,100,instant
11032,샌_속이꽉찬계란샌드위치,2200,100,instant
11033,주_토핑2배전주비빔,1000,100,instant
