,rules,support,confidence,coverage,lift,count
0,{에이치앤비_씨없는청포도} => {지구인_채식주의샐러드볼},0.0101464619728251,0.5227272727272729,0.019410622904534998,1.5715095249578,115
1,{더본_빽햄200g} => {매일_멸균흰우유200ml},0.0115581436386095,0.51171875,0.0225869066525498,1.69387275481893,131
2,{더본_빽햄200g} => {지구인_채식주의샐러드볼},0.0101464619728251,0.44921875,0.0225869066525499,1.35051599801061,115
3,{CJ_진한참기름110ml} => {매일_멸균흰우유200ml},0.0117346038468325,0.481884057971014,0.0243515087347803,1.59511504469728,133
4,{CJ_진한참기름110ml} => {지구인_채식주의샐러드볼},0.0120875242632786,0.49637681159420294,0.0243515087347803,1.49229039326491,137
5,{동원_꽁치400g} => {매일_멸균흰우유200ml},0.0112052232221634,0.44405594405594395,0.0252338097758955,1.4698978007973302,127
6,{동원_꽁치400g} => {지구인_채식주의샐러드볼},0.0125286747838362,0.496503496503497,0.0252338097758955,1.49267125447497,142
7,{롯데_의성마늘무안양파2입} => {매일_멸균흰우유200ml},0.0125286747838362,0.465573770491803,0.0269101817540145,1.54112532557071,142
8,{롯데_의성마늘무안양파2입} => {지구인_채식주의샐러드볼},0.0168519498853009,0.6262295081967211,0.0269101817540145,1.8826751315388999,191
9,{씨엔_블루베리100g} => {매일_멸균흰우유200ml},0.0128815952002823,0.446483180428135,0.028851244044467997,1.4779323501672,146
10,{씨엔_블루베리100g} => {지구인_채식주의샐러드볼},0.0138521263455091,0.480122324159021,0.028851244044467997,1.44342345411627,157
11,{롯데_애플뚱모스빵} => {매일_멸균흰우유200ml},0.0134109758249515,0.41304347826086996,0.0324686783130404,1.3672414668833799,152
12,{롯데_애플뚱모스빵} => {지구인_채식주의샐러드볼},0.0127933650961708,0.394021739130435,0.0324686783130404,1.1845735785953202,145
13,{코카_토레타P900ml} => {매일_멸균흰우유200ml},0.0142050467619552,0.306083650190114,0.04640903476266099,1.01318694253936,161
14,{코카_토레타P900ml} => {지구인_채식주의샐러드볼},0.0145579671784013,0.313688212927757,0.04640903476266099,0.943061592923924,165
15,{마니커_바사삭치킨한마리} => {매일_멸균흰우유200ml},0.0178224810305276,0.47196261682242996,0.0377624845597318,1.56227345182985,202
16,{마니커_바사삭치킨한마리} => {지구인_채식주의샐러드볼},0.0230280571731075,0.60981308411215,0.0377624845597318,1.8333213515456497,261
17,{삼립_슈프림치즈부리또} => {CJ_고메순살치킨550g},0.0100582318687136,0.31147540983606603,0.0322922181048174,8.19086379369366,114
18,{CJ_고메순살치킨550g} => {삼립_슈프림치즈부리또},0.0100582318687136,0.264501160092807,0.0380271748720663,8.19086379369366,114
19,{삼립_슈프림치즈부리또} => {지구인_채식주의샐러드볼},0.0193223928004235,0.5983606557377049,0.0322922181048174,1.79889115971648,219
20,{샌_치즈에그샌드위치} => {동원_모닝버터200g},0.0104111522851597,0.315508021390374,0.0329980589377095,3.8164011893687304,118
21,{샌_치즈에그샌드위치} => {지구인_채식주의샐러드볼},0.0197635433209811,0.598930481283422,0.0329980589377095,1.80060426389027,224
22,{동원_지중해황도410g} => {크라운_새콤달콤블루소다},0.0104111522851597,0.25485961123110196,0.0408505382036351,1.3586918314644,118
23,{동원_지중해황도410g} => {매일_멸균흰우유200ml},0.0190577024880889,0.46652267818574505,0.0408505382036351,1.54426636523284,216
24,{동원_지중해황도410g} => {지구인_채식주의샐러드볼},0.0185283218634198,0.453563714902808,0.0408505382036351,1.36357855297306,210
25,{오리온_왕고래밥스낵} => {매일_멸균흰우유200ml},0.0177342509264161,0.402,0.0441150520557614,1.33068574766355,201
26,{오리온_왕고래밥스낵} => {지구인_채식주의샐러드볼},0.0189694723839774,0.43,0.0441150520557614,1.2927374005305,215
27,{푸드_하루한컵과일&견과} => {삼립_저온숙식빵},0.0101464619728251,0.282555282555283,0.0359096523733898,7.661439168616201,115
28,{삼립_저온숙식빵} => {푸드_하루한컵과일&견과},0.0101464619728251,0.27511961722488,0.0368801835186166,7.661439168616201,115
29,{푸드_하루한컵과일&견과} => {동서_콘푸라이트},0.0107640727016058,0.2997542997543,0.0359096523733898,7.29059062964642,122
30,{동서_콘푸라이트} => {푸드_하루한컵과일&견과},0.0107640727016058,0.26180257510729604,0.0411152285159696,7.29059062964642,122
31,{푸드_하루한컵과일&견과} => {도_고기듬뿍김치제육},0.0100582318687136,0.28009828009828003,0.0359096523733898,3.4847792608495096,114
32,{푸드_하루한컵과일&견과} => {지구인_채식주의샐러드볼},0.0211752249867655,0.58968058968059,0.0359096523733898,1.77279570383019,240
33,{삼립_저온숙식빵} => {롯데_스크류바아이스},0.0100582318687136,0.272727272727273,0.0368801835186166,4.69770654877038,114
34,{삼립_저온숙식빵} => {도_브레드쏘야도시락},0.0102346920769367,0.27751196172248804,0.0368801835186166,4.57834144710725,116
35,{삼립_저온숙식빵} => {삼립미각_이즈니버터와플},0.0101464619728251,0.27511961722488,0.0368801835186166,3.91242878497716,115
36,{삼립_저온숙식빵} => {진진_강릉커피블랙8T},0.0102346920769367,0.27751196172248804,0.0368801835186166,3.0477912540336,116
37,{삼립_저온숙식빵} => {동원_모닝버터200g},0.0102346920769367,0.27751196172248804,0.0368801835186166,3.35679890518963,116
38,{삼립_저온숙식빵} => {김천_깨끗한계란10입},0.0105876124933827,0.287081339712919,0.0368801835186165,3.16823749202164,120
39,{삼립_저온숙식빵} => {매일_멸균흰우유200ml},0.0100582318687136,0.272727272727273,0.0368801835186166,0.9027718776550551,114
40,{삼립_저온숙식빵} => {지구인_채식주의샐러드볼},0.0216163755073231,0.586124401913876,0.0368801835186166,1.76210450166893,245
41,{샘표_토마토파스타소스430} => {삼립미각_이즈니버터와플},0.0104993823892712,0.273563218390805,0.0383800952885124,3.89029550469433,119
42,{샘표_토마토파스타소스430} => {동원_통그릴델리햄150g},0.0110287630139404,0.28735632183908,0.0383800952885124,3.2278459382796205,125
43,{샘표_토마토파스타소스430} => {서울_ABC주스},0.0102346920769367,0.266666666666667,0.0383800952885124,2.75515041020966,116
44,{샘표_토마토파스타소스430} => {동원_체다치즈3입},0.0107640727016058,0.280459770114943,0.0383800952885124,1.94298962987944,122
45,{샘표_토마토파스타소스430} => {실속_1500모닝롤6입},0.0101464619728251,0.264367816091954,0.0383800952885124,1.31591779867642,115
46,{샘표_토마토파스타소스430} => {매일_멸균흰우유200ml},0.0108523028057173,0.282758620689655,0.0383800952885124,0.9359772800515629,123
47,{샘표_토마토파스타소스430} => {지구인_채식주의샐러드볼},0.0213516851949885,0.55632183908046,0.0383800952885124,1.6725070886307498,242
48,{CJ_고메순살치킨550g} => {동서_콘푸라이트},0.011646373742721,0.306264501160093,0.0380271748720664,7.44893102177788,132
49,{동서_콘푸라이트} => {CJ_고메순살치킨550g},0.011646373742721,0.28326180257510697,0.0411152285159696,7.44893102177788,132
50,{CJ_고메순살치킨550g} => {롯데_스크류바아이스},0.0105876124933827,0.27842227378190304,0.0380271748720664,4.79580250918554,120
51,{CJ_고메순살치킨550g} => {도_브레드쏘야도시락},0.0108523028057173,0.28538283062645,0.0380271748720663,4.70819359871934,123
52,{CJ_고메순살치킨550g} => {CJ_백설정백당1kg},0.0104993823892712,0.27610208816705295,0.0380271748720664,4.10674680746113,119
53,{CJ_고메순살치킨550g} => {도_고기듬뿍김치제육},0.0106758425974943,0.280742459396752,0.0380271748720664,3.49279367157276,121
54,{CJ_고메순살치킨550g} => {HJF_숯향가득삼겹살구이},0.0103229221810482,0.27146171693735505,0.0380271748720663,3.26618588085773,117
55,{CJ_고메순살치킨550g} => {동원_모닝버터200g},0.0101464619728251,0.266821345707657,0.0380271748720664,3.2274846662226,115
56,{CJ_고메순살치킨550g} => {동원_통그릴델리햄150g},0.0109405329098288,0.287703016241299,0.0380271748720663,3.2317403231703503,124
57,{CJ_고메순살치킨550g} => {김천_깨끗한계란10입},0.0100582318687136,0.264501160092807,0.0380271748720663,2.91904201411089,114
58,{CJ_고메순살치킨550g} => {선명_하루견과요거트},0.0106758425974943,0.280742459396752,0.0380271748720664,1.79364996324847,121
59,{CJ_고메순살치킨550g} => {매일_멸균흰우유200ml},0.0101464619728251,0.266821345707657,0.0380271748720664,0.883222293297482,115
60,{CJ_고메순살치킨550g} => {지구인_채식주의샐러드볼},0.023116287277218997,0.6078886310904871,0.0380271748720664,1.8275357413208402,262
61,{동서_콘푸라이트} => {롯데_스크류바아이스},0.0104111522851597,0.253218884120172,0.0411152285159696,4.36167603741341,118
62,{동서_콘푸라이트} => {도_브레드쏘야도시락},0.0112052232221634,0.272532188841202,0.0411152285159696,4.49618606743258,127
63,{동서_콘푸라이트} => {CJ_백설정백당1kg},0.0103229221810482,0.251072961373391,0.0411152285159696,3.73446318137271,117
64,{동서_콘푸라이트} => {김천_깨끗한계란10입},0.0108523028057173,0.263948497854077,0.0411152285159696,2.9129428185765396,123
65,{동서_콘푸라이트} => {동원_체다치즈3입},0.0108523028057173,0.263948497854077,0.0411152285159696,1.82860163488882,123
66,{동서_콘푸라이트} => {선명_하루견과요거트},0.0119110640550556,0.289699570815451,0.0411152285159696,1.85087651387955,135
67,{동서_콘푸라이트} => {크라운_새콤달콤블루소다},0.0108523028057173,0.263948497854077,0.0411152285159696,1.4071459429342,123
68,{동서_콘푸라이트} => {매일_멸균흰우유200ml},0.013675666137286002,0.33261802575107297,0.0411152285159696,1.1010200653804498,155
69,{동서_콘푸라이트} => {지구인_채식주의샐러드볼},0.0253220398800071,0.61587982832618,0.0411152285159696,1.8515602053710702,287
70,{이가_투움바파스타} => {동원_체다치즈3입},0.0127933650961708,0.26126126126126104,0.0489677077818952,1.8099848014273403,145
71,{이가_투움바파스타} => {크라운_새콤달콤블루소다},0.0144697370742897,0.295495495495495,0.0489677077818952,1.5753273499275402,164
72,{이가_투움바파스타} => {실속_1500모닝롤6입},0.0125286747838362,0.255855855855856,0.0489677077818952,1.27354864746169,142
73,{이가_투움바파스타} => {매일_멸균흰우유200ml},0.0159696488441856,0.32612612612612607,0.0489677077818952,1.07953081586259,181
74,{이가_투움바파스타} => {지구인_채식주의샐러드볼},0.0276160225869067,0.563963963963964,0.0489677077818952,1.69548211341315,313
75,{CJ_백설밀가루1kg} => {CJ_백설정백당1kg},0.0142050467619552,0.28904847396768396,0.0491441679901182,4.2993115537398,161
76,{CJ_백설밀가루1kg} => {동원_체다치즈3입},0.0124404446797247,0.253141831238779,0.0491441679901182,1.7537344225307598,141
77,{CJ_백설밀가루1kg} => {선명_하루견과요거트},0.0142050467619552,0.28904847396768396,0.0491441679901182,1.84671668768305,161
78,{CJ_백설밀가루1kg} => {실속_1500모닝롤6입},0.0124404446797247,0.253141831238779,0.0491441679901182,1.26003931280647,141
79,{CJ_백설밀가루1kg} => {매일_멸균흰우유200ml},0.0184400917593083,0.375224416517056,0.0491441679901182,1.2420541871507902,209
80,{CJ_백설밀가루1kg} => {지구인_채식주의샐러드볼},0.029027704252691005,0.590664272890485,0.0491441679901182,1.77575301563415,329
