rules,support,confidence,coverage,lift,count
{12205} => {10888},0.0101464619728251,0.522727272727273,0.019410622904535,1.5715095249578,115
{12206} => {13473},0.0115581436386095,0.51171875,0.0225869066525498,1.69387275481893,131
{12206} => {10888},0.0101464619728251,0.44921875,0.0225869066525499,1.35051599801061,115
{12938} => {13473},0.0117346038468325,0.481884057971014,0.0243515087347803,1.59511504469728,133
{12938} => {10888},0.0120875242632786,0.496376811594203,0.0243515087347803,1.49229039326491,137
{12629} => {13473},0.0112052232221634,0.444055944055944,0.0252338097758955,1.46989780079733,127
{12629} => {10888},0.0125286747838362,0.496503496503497,0.0252338097758955,1.49267125447497,142
{13166} => {13473},0.0125286747838362,0.465573770491803,0.0269101817540145,1.54112532557071,142
{13166} => {10888},0.0168519498853009,0.626229508196721,0.0269101817540145,1.8826751315389,191
{12580} => {13473},0.0128815952002823,0.446483180428135,0.028851244044468,1.4779323501672,146
{12580} => {10888},0.0138521263455091,0.480122324159021,0.028851244044468,1.44342345411627,157
{11434} => {13473},0.0134109758249515,0.41304347826087,0.0324686783130404,1.36724146688338,152
{11434} => {10888},0.0127933650961708,0.394021739130435,0.0324686783130404,1.18457357859532,145
{13557} => {13473},0.0142050467619552,0.306083650190114,0.046409034762661,1.01318694253936,161
{13557} => {10888},0.0145579671784013,0.313688212927757,0.046409034762661,0.943061592923924,165
{12156} => {13473},0.0178224810305276,0.47196261682243,0.0377624845597318,1.56227345182985,202
{12156} => {10888},0.0230280571731075,0.60981308411215,0.0377624845597318,1.83332135154565,261
{12713} => {12539},0.0100582318687136,0.311475409836066,0.0322922181048174,8.19086379369366,114
{12539} => {12713},0.0100582318687136,0.264501160092807,0.0380271748720663,8.19086379369366,114
{12713} => {10888},0.0193223928004235,0.598360655737705,0.0322922181048174,1.79889115971648,219
{10991} => {13090},0.0104111522851597,0.315508021390374,0.0329980589377095,3.81640118936873,118
{10991} => {10888},0.0197635433209811,0.598930481283422,0.0329980589377095,1.80060426389027,224
{12964} => {11745},0.0104111522851597,0.254859611231102,0.0408505382036351,1.3586918314644,118
{12964} => {13473},0.0190577024880889,0.466522678185745,0.0408505382036351,1.54426636523284,216
{12964} => {10888},0.0185283218634198,0.453563714902808,0.0408505382036351,1.36357855297306,210
{11861} => {13473},0.0177342509264161,0.402,0.0441150520557614,1.33068574766355,201
{11861} => {10888},0.0189694723839774,0.43,0.0441150520557614,1.2927374005305,215
{12617} => {11098},0.0101464619728251,0.282555282555283,0.0359096523733898,7.6614391686162,115
{11098} => {12617},0.0101464619728251,0.27511961722488,0.0368801835186166,7.6614391686162,115
{12617} => {11775},0.0107640727016058,0.2997542997543,0.0359096523733898,7.29059062964642,122
{11775} => {12617},0.0107640727016058,0.261802575107296,0.0411152285159696,7.29059062964642,122
{12617} => {11053},0.0100582318687136,0.28009828009828,0.0359096523733898,3.48477926084951,114
{12617} => {10888},0.0211752249867655,0.58968058968059,0.0359096523733898,1.77279570383019,240
{11098} => {13357},0.0100582318687136,0.272727272727273,0.0368801835186166,4.69770654877038,114
{11098} => {10882},0.0102346920769367,0.277511961722488,0.0368801835186166,4.57834144710725,116
{11098} => {11132},0.0101464619728251,0.27511961722488,0.0368801835186166,3.91242878497716,115
{11098} => {12138},0.0102346920769367,0.277511961722488,0.0368801835186166,3.0477912540336,116
{11098} => {13090},0.0102346920769367,0.277511961722488,0.0368801835186166,3.35679890518963,116
{11098} => {12711},0.0105876124933827,0.287081339712919,0.0368801835186165,3.16823749202164,120
{11098} => {13473},0.0100582318687136,0.272727272727273,0.0368801835186166,0.902771877655055,114
{11098} => {10888},0.0216163755073231,0.586124401913876,0.0368801835186166,1.76210450166893,245
{12675} => {11132},0.0104993823892712,0.273563218390805,0.0383800952885124,3.89029550469433,119
{12675} => {12279},0.0110287630139404,0.28735632183908,0.0383800952885124,3.22784593827962,125
{12675} => {13319},0.0102346920769367,0.266666666666667,0.0383800952885124,2.75515041020966,116
{12675} => {12100},0.0107640727016058,0.280459770114943,0.0383800952885124,1.94298962987944,122
{12675} => {11593},0.0101464619728251,0.264367816091954,0.0383800952885124,1.31591779867642,115
{12675} => {13473},0.0108523028057173,0.282758620689655,0.0383800952885124,0.935977280051563,123
{12675} => {10888},0.0213516851949885,0.55632183908046,0.0383800952885124,1.67250708863075,242
{12539} => {11775},0.011646373742721,0.306264501160093,0.0380271748720664,7.44893102177788,132
{11775} => {12539},0.011646373742721,0.283261802575107,0.0411152285159696,7.44893102177788,132
{12539} => {13357},0.0105876124933827,0.278422273781903,0.0380271748720664,4.79580250918554,120
{12539} => {10882},0.0108523028057173,0.28538283062645,0.0380271748720663,4.70819359871934,123
{12539} => {12659},0.0104993823892712,0.276102088167053,0.0380271748720664,4.10674680746113,119
{12539} => {11053},0.0106758425974943,0.280742459396752,0.0380271748720664,3.49279367157276,121
{12539} => {12389},0.0103229221810482,0.271461716937355,0.0380271748720663,3.26618588085773,117
{12539} => {13090},0.0101464619728251,0.266821345707657,0.0380271748720664,3.2274846662226,115
{12539} => {12279},0.0109405329098288,0.287703016241299,0.0380271748720663,3.23174032317035,124
{12539} => {12711},0.0100582318687136,0.264501160092807,0.0380271748720663,2.91904201411089,114
{12539} => {13212},0.0106758425974943,0.280742459396752,0.0380271748720664,1.79364996324847,121
{12539} => {13473},0.0101464619728251,0.266821345707657,0.0380271748720664,0.883222293297482,115
{12539} => {10888},0.023116287277219,0.607888631090487,0.0380271748720664,1.82753574132084,262
{11775} => {13357},0.0104111522851597,0.253218884120172,0.0411152285159696,4.36167603741341,118
{11775} => {10882},0.0112052232221634,0.272532188841202,0.0411152285159696,4.49618606743258,127
{11775} => {12659},0.0103229221810482,0.251072961373391,0.0411152285159696,3.73446318137271,117
{11775} => {12711},0.0108523028057173,0.263948497854077,0.0411152285159696,2.91294281857654,123
{11775} => {12100},0.0108523028057173,0.263948497854077,0.0411152285159696,1.82860163488882,123
{11775} => {13212},0.0119110640550556,0.289699570815451,0.0411152285159696,1.85087651387955,135
{11775} => {11745},0.0108523028057173,0.263948497854077,0.0411152285159696,1.4071459429342,123
{11775} => {13473},0.013675666137286,0.332618025751073,0.0411152285159696,1.10102006538045,155
{11775} => {10888},0.0253220398800071,0.61587982832618,0.0411152285159696,1.85156020537107,287
{12086} => {12100},0.0127933650961708,0.261261261261261,0.0489677077818952,1.80998480142734,145
{12086} => {11745},0.0144697370742897,0.295495495495495,0.0489677077818952,1.57532734992754,164
{12086} => {11593},0.0125286747838362,0.255855855855856,0.0489677077818952,1.27354864746169,142
{12086} => {13473},0.0159696488441856,0.326126126126126,0.0489677077818952,1.07953081586259,181
{12086} => {10888},0.0276160225869067,0.563963963963964,0.0489677077818952,1.69548211341315,313
{12665} => {12659},0.0142050467619552,0.289048473967684,0.0491441679901182,4.2993115537398,161
{12665} => {12100},0.0124404446797247,0.253141831238779,0.0491441679901182,1.75373442253076,141
{12665} => {13212},0.0142050467619552,0.289048473967684,0.0491441679901182,1.84671668768305,161
{12665} => {11593},0.0124404446797247,0.253141831238779,0.0491441679901182,1.26003931280647,141
{12665} => {13473},0.0184400917593083,0.375224416517056,0.0491441679901182,1.24205418715079,209
{12665} => {10888},0.029027704252691,0.590664272890485,0.0491441679901182,1.77575301563415,329
{11971} => {13473},0.0248808893594494,0.36340206185567,0.0684665607905417,1.20292025965893,282
{11971} => {10888},0.0226751367566614,0.331185567010309,0.0684665607905417,0.995665044163089,257
{13357} => {11745},0.0156167284277395,0.268996960486322,0.058055408505382,1.43405999536782,177
{13357} => {13473},0.0167637197811893,0.288753799392097,0.058055408505382,0.955822302076528,190
{13357} => {10888},0.0280571731074643,0.483282674772036,0.058055408505382,1.45292462489821,318
{12766} => {11496},0.0177342509264161,0.270161290322581,0.065643197458973,2.9670620780195,201
{12766} => {13473},0.0314099170637021,0.478494623655914,0.065643197458973,1.58389546276756,356
{12766} => {10888},0.0320275277924828,0.487903225806452,0.065643197458973,1.46681569264995,363
{11499} => {12100},0.0158814187400741,0.251396648044693,0.0631727545438504,1.74164401524361,180
{11499} => {13212},0.0182636315510852,0.289106145251397,0.0631727545438504,1.8470851467189,207
{11499} => {13473},0.0316746073760367,0.501396648044693,0.0631727545438504,1.65970490915261,359
{11499} => {10888},0.0364390329980589,0.576815642458101,0.0631727545438504,1.73411896329446,413
{10882} => {13473},0.0183518616551968,0.302765647743814,0.0606140815246162,1.00220381177815,208
{10882} => {10888},0.0303511558143639,0.500727802037846,0.0606140815246162,1.50537106320874,344
{11893} => {13473},0.0335274395623787,0.434285714285714,0.0772013410975825,1.4375567423231,380
{11893} => {10888},0.0268219516499029,0.347428571428571,0.0772013410975825,1.04449746115953,304
{12121} => {13212},0.0187930121757544,0.261670761670762,0.0718193047467796,1.67180181103518,213
